Temperature,Humidity,Moisture,pH,N,P,K,Label
0.4721878135312923,0.2476773592444224,0.09598092428396998,0.5016661989465669,0.27461359836418703,0.056647725674298044,0.022597840261905172,1
0.2595708963002346,0.45558149710688706,0.5624394554277081,0.2762005591442331,0.18686330597383588,0.43866308756808386,0.40063610674267813,0
0.5581633384461262,0.6042134251733329,0.3129992174790447,0.11397859307840968,0.2710243499487091,0.10398965016519598,0.6910556830978482,1
0.33428085755191256,0.023925921087174146,0.12188902757812434,0.7484773486144438,0.7322236774446329,0.2822150505609752,0.7458480948553122,1
0.8537694632762776,0.14975624614569394,0.2906106356082845,0.859486889143763,0.22479518108814936,0.49314347370936884,0.35181516488411035,1
0.42506278227609323,0.926915682099507,0.5268767117384866,0.13491267665130752,0.9075919785552811,0.3367439097125696,0.9553812974112876,1
0.6747774569599354,0.5268453273061011,0.5174176284540181,0.7030508029955027,0.4094685666892965,0.29243474842123235,0.3444047675696632,0
0.4936919719311362,0.6106670000160956,0.16405303691261813,0.6772271227625077,0.4717980396896255,0.5848914267149353,0.37252043715617067,0
0.2850009353394863,0.13670254545475582,0.09859540547139695,0.20924566377676407,0.2554759531039292,0.014862386755088188,0.22305362821574679,1
0.42321675018509947,0.4823921056575102,0.3785688007284359,0.6331749623650458,0.1334380434021253,0.5117772571415096,0.3373758501730364,0
0.12924045530136535,0.77798956097476,0.37670926079009037,0.5158593561022855,0.04440692952321026,0.10620122076338598,0.2815523533308205,1
0.7642270720945572,0.28243901151367407,0.3033130524384624,0.18965843529971987,0.4819280022675786,0.6999768511103863,0.8819501479324429,1
0.02578194745338358,0.6304190566510495,0.1756834378799437,0.06483976094418181,0.020374987608937377,0.13766159672673844,0.26836245544857573,1
0.5957018691703146,0.5859365248875035,0.42983314992957045,0.5784895218716446,0.24919277897416484,0.20469774493312146,0.3444047675696632,0
0.16714843504316762,0.17739324374239085,0.29533239350657126,0.7333586406806489,0.10691410730861642,0.005406203996160919,0.037091873228401254,1
0.40191401841513813,0.514346956710062,0.3310317035054544,0.16389018048393517,0.4032318026866987,0.2279250120886226,0.5309874938336923,1
0.40434274909234574,0.17998182364364784,0.115008782066394,0.3156741846322066,0.8922135941167056,0.9907244154352363,0.21118777170325118,1
0.35369712466612774,0.5135941069879768,0.2546641928806752,0.4189903204325582,0.32042646240311223,0.20469774493312146,0.19679750224049894,0
0.22043799128561986,0.10053919990633056,0.16282981633069213,0.42816485725562464,0.03794099961373947,0.05211815764814555,0.012969810731365702,1
0.18145090473767878,0.13084955733425213,0.46501827521152994,0.5055756012137766,0.1957675164024543,0.5117772571415096,0.35846260236291694,0
0.4911375261326028,0.7994867329943949,0.435897789410434,0.049653340105862476,0.5515518017804739,0.2299641945667662,0.7433230568433472,1
0.30448391897228516,0.49248460485329076,0.45877575298408546,0.6787461627762132,0.21357593725969118,0.4679087553974542,0.44983852851906625,0
0.6117081059736518,0.4619759813301679,0.1578105146851737,0.4326616805559084,0.41837277711791493,0.1023379075303254,0.2038264196371258,0
0.31475657841323285,0.6310831243434378,0.2586367070254125,0.27468151913052746,0.29371383111725696,0.24856624667717692,0.2530288414135139,0
0.20318021333257902,0.1995214306541116,0.445283968987388,0.3391061440014534,0.011522648482957983,0.08427689150884339,0.17170268847809086,1
0.30282807747266244,0.0693815089707821,0.23285290834929365,0.6311640817744053,0.21568473487265402,0.03481184654401695,0.06080318986186464,1
0.15722806613775508,0.3809201766767626,0.7466014673633714,0.8918259259517209,0.07915440955424513,0.15234311786302643,0.19691721784936925,1
0.27529848825822895,0.2561205393140196,0.2840869165401597,0.3158211848666396,0.13673576992965705,0.33531009417491664,0.1690721750963024,1
0.23588849358075908,0.0509004876149336,0.1563884381297762,0.43107105853281963,0.927005953005796,0.19132240159819916,0.8344370853598605,1
