N,P,K,Moisture,pH,Temperature,Humidity,Semantic_Tag,Action_Suggested,Label
44.59042464087507,7.688004248426736,118.39526542577174,12.348107081813415,4.957099737391691,47.183009523250966,60.6699671591091,"Healthy, P-deficiency",Monitor,1
10.174369991263578,2.4224690455389473,34.88355425576084,26.589972991019753,6.043132746413869,18.75961371199365,108.94484123713005,"Healthy, Healthy",Apply Fertilizer,1
16.0,24.0,44.0,21.0,6.17,37.81,77.07,"P-deficiency, N-deficiency",Monitor,0
73.0,14.0,65.0,16.9,5.22,36.93,36.08,"Pest-risk, K-deficiency",Apply Pesticide,0
71.0,6.0,22.0,36.67,5.48,41.51,90.85,"K-deficiency, N-deficiency",Apply Pesticide,0
55.76463247913088,62.1377333338887,130.6485675225352,12.457394969184504,4.410938606804913,28.824064093361052,76.71424741602483,"N-deficiency, Pest-risk",Apply Fertilizer,1
56.0,34.0,29.0,12.41,5.1,34.38,45.94,"Healthy, Healthy",Apply Fertilizer,0
32.0,36.0,32.0,21.58,5.03,24.58,82.69,"P-deficiency, Pest-risk",Monitor,0
24.0,25.0,24.0,29.07,5.49,26.68,47.7,"Pest-risk, Pest-risk",Apply Pesticide,0
14.572141104611388,18.458045399174424,38.373304908809985,30.885318160321205,6.696166833036616,20.344647693105305,59.62338420542987,"Healthy, Healthy",Apply Fertilizer,1
60.0,11.0,82.0,31.16,5.51,28.19,42.61,"P-deficiency, P-deficiency",Monitor,0
18.0,16.0,49.0,10.17,5.63,37.94,81.59,"N-deficiency, Pest-risk",Monitor,0
104.94968924935279,36.9541159328707,122.68766489713073,19.862144927486963,9.296292039044923,21.574997696247024,50.70384520266202,"Healthy, P-deficiency",Irrigate,1
50.0,25.0,81.0,11.38,7.05,21.81,64.15,"Healthy, N-deficiency",Irrigate,0
27.0,32.0,54.0,22.61,6.28,27.93,45.28,"Pest-risk, Healthy",Apply Pesticide,0
35.0,38.0,92.0,16.46,5.68,21.41,65.09,"K-deficiency, Pest-risk",Monitor,0
38.762575933099406,50.247783616980705,126.33728452269435,39.542447830564754,5.333604315821525,20.425634786594575,112.91991366783726,"K-deficiency, P-deficiency",Monitor,1
73.0,15.0,65.0,10.5,5.55,18.15,69.24,"Healthy, P-deficiency",Apply Fertilizer,0
69.0,14.0,47.0,30.4,7.18,39.2,92.7,"P-deficiency, K-deficiency",Irrigate,0
50.0,30.0,61.0,19.92,5.64,41.32,93.39,"N-deficiency, P-deficiency",Monitor,0
51.85721028445712,56.178644474828545,28.809561269142844,12.927138005063757,6.089492845797269,23.875859086799704,44.363271671513104,"Healthy, P-deficiency",Monitor,1
112.68420176854269,43.22133766464651,60.201148890043356,31.580428718232408,5.661571578714566,36.90728869917397,124.46483987962584,"Healthy, K-deficiency",Monitor,1
15.0,28.0,76.0,17.87,6.38,39.95,81.36,"N-deficiency, P-deficiency",Apply Pesticide,0
22.670513167942214,4.250721218989165,11.335256583971107,52.04880336073868,5.749648974895071,36.688297370403795,111.5609824985139,"Pest-risk, K-deficiency",Irrigate,1
48.0,20.0,24.0,8.81,6.91,36.43,28.65,"P-deficiency, K-deficiency",Monitor,0
15.0,36.0,63.0,17.41,8.0,30.55,32.73,"N-deficiency, N-deficiency",Monitor,0
69.0,9.0,89.0,11.45,5.19,31.96,43.16,"P-deficiency, P-deficiency",Apply Fertilizer,0
26.231517338190024,9.584592873569433,22.700351542664446,40.42577206284718,3.623801435956854,21.879846953611988,57.177016293981616,"K-deficiency, P-deficiency",Apply Pesticide,1
72.0,28.0,81.0,15.02,6.38,31.18,91.86,"Pest-risk, Pest-risk",Apply Pesticide,0
43.10348808707548,49.48919002590148,75.03199778120548,10.213009916186074,6.806537699015632,17.621845148584782,18.678570130872355,"Pest-risk, Healthy",Apply Fertilizer,1
106.70202615584718,16.53129982696224,69.13089018547845,25.48399376784487,6.103010134458801,50.97302693670556,46.12733700372677,"K-deficiency, Healthy",Apply Pesticide,1
71.0,16.0,84.0,28.47,8.0,20.7,50.51,"N-deficiency, K-deficiency",Apply Pesticide,0
63.078414908668876,50.4627319269351,123.0029090719043,8.64833683783342,6.966746625654806,21.617556252305917,17.50719240132463,"Healthy, Healthy",Apply Pesticide,1
36.0,35.0,22.0,32.94,5.78,40.83,35.07,"Pest-risk, Healthy",Irrigate,0
39.32439110393947,37.751415459781896,141.5678079741821,43.224649859936655,5.549992117457787,24.083954045088237,97.99570290422925,"K-deficiency, K-deficiency",Irrigate,1
59.0,14.0,55.0,28.67,6.34,22.45,30.31,"Healthy, Healthy",Apply Fertilizer,0
37.503138883367576,11.539427348728486,28.848568371821216,13.660911652527515,3.736544988202664,26.212451428429567,89.97404699828441,"Healthy, N-deficiency",Irrigate,1
57.0,26.0,29.0,21.23,6.41,18.33,26.79,"Pest-risk, P-deficiency",Apply Pesticide,0
53.0,42.0,61.0,9.17,5.55,24.35,77.46,"N-deficiency, N-deficiency",Irrigate,0
