N,P,K,Moisture,pH,Temperature,Humidity
0.7966101694915255,0.28205128205128205,0.7837837837837839,0.5045015005001665,0.6166666666666667,0.7740725302209253,0.4413319994283264
0.728813559322034,0.10256410256410256,0.918918918918919,0.2460820273424475,0.94,0.2876198416006668,0.16707160211519229
0.8305084745762712,0.10256410256410256,0.5270270270270271,0.47549183061020334,0.3633333333333333,0.7844935389745726,0.776761469201086
0.3389830508474576,0.07692307692307693,0.7432432432432433,0.36678892964321436,0.3733333333333335,0.13880783659858265,0.14434757753322852
0.23728813559322037,0.8717948717948718,0.8513513513513514,0.19506502167389128,0.19333333333333336,0.9312213422259275,0.21937973417178785
0.44067796610169496,0.8974358974358974,0.6486486486486487,0.05935311770590196,0.44999999999999973,0.7969987494789494,0.5325139345433758
0.9661016949152543,0.5641025641025641,0.9864864864864865,0.7859286428809602,0.046666666666666634,0.3918299291371403,0.7371730741746463
0.847457627118644,0.4358974358974359,0.32432432432432434,0.8386128709569856,0.5266666666666668,0.49270529387244677,0.34000285836787186
0.2033898305084746,0.1282051282051282,0.2702702702702703,0.39313104368122703,0.3166666666666669,0.7661525635681534,0.17050164356152636
0.6271186440677966,0.7948717948717948,0.32432432432432434,0.010003334444814937,0.3700000000000001,0.21008753647353062,0.24124624839216807
0.711864406779661,0.717948717948718,0.45945945945945954,0.19206402134044676,0.22666666666666657,0.1467278032513547,0.3755895383735887
1.0,0.6666666666666666,0.13513513513513514,0.7815938646215406,0.03666666666666685,0.18674447686536055,0.6875803915963985
0.1694915254237288,0.641025641025641,0.32432432432432434,0.3491163721240413,0.9133333333333336,0.5819091288036682,0.3988852365299414
0.30508474576271183,0.3846153846153846,0.9054054054054054,0.9153051017005669,0.39666666666666694,0.846602751146311,0.4087466056881521
0.7627118644067796,0.4871794871794872,0.28378378378378377,0.3734578192730909,0.4833333333333334,0.19549812421842439,0.6109761326282694
0.06779661016949151,0.6153846153846154,0.05405405405405406,0.41580526842280746,0.8433333333333333,0.2621925802417673,0.7254537658996711
0.5254237288135594,0.7692307692307692,0.5405405405405406,0.976325441813938,0.6133333333333333,0.02417674030846184,0.6848649421180506
0.050847457627118675,0.4871794871794872,0.5675675675675677,0.13104368122707566,0.6600000000000001,0.7223843268028345,0.9031013291410606
0.2542372881355932,0.46153846153846156,0.33783783783783783,0.7849283094364787,0.9899999999999998,0.029178824510212586,0.22009432613977414
0.8983050847457628,0.3333333333333333,0.6081081081081081,0.6822274091363787,0.1200000000000001,0.4543559816590246,0.13763041303415752
0.6779661016949152,0.1282051282051282,0.8513513513513514,0.7029009669889961,0.023333333333333428,0.8124218424343477,0.5386594254680577
0.9661016949152543,0.7435897435897436,0.16216216216216217,0.07702567522507503,0.31000000000000005,0.36890370987911636,0.6539945691010431
0.728813559322034,0.358974358974359,0.44594594594594594,0.8769589863287761,0.14000000000000012,0.5477282200917049,0.8625125053594398
0.050847457627118675,0.7435897435897436,0.7972972972972973,0.6868956318772923,0.6999999999999997,0.2013338891204668,0.16549949978562245
0.1016949152542373,0.7692307692307692,0.2432432432432433,0.5461820606868955,0.31000000000000005,0.5077115464776989,0.29426897241675004
0.5254237288135594,0.6923076923076923,0.14864864864864868,0.10636878959653212,0.3666666666666667,0.002084201750729542,0.7753322852651137
